model_date,timestamp,state_abb,vpi,p_tipping_point
2024-11-04,2024-11-04T20:14:20Z,WY,0,0
2024-11-04,2024-11-04T20:14:20Z,WV,0,0
2024-11-04,2024-11-04T20:14:20Z,WA,0,0
2024-11-04,2024-11-04T20:14:20Z,VT,0,0
2024-11-04,2024-11-04T20:14:20Z,UT,0,0
2024-11-04,2024-11-04T20:14:20Z,TN,0,0
2024-11-04,2024-11-04T20:14:20Z,SD,0,0
2024-11-04,2024-11-04T20:14:20Z,SC,0.6,0
2024-11-04,2024-11-04T20:14:20Z,RI,0.4,0
2024-11-04,2024-11-04T20:14:20Z,OR,0.4,0
2024-11-04,2024-11-04T20:14:20Z,OK,0,0
2024-11-04,2024-11-04T20:14:20Z,ND,0,0
2024-11-04,2024-11-04T20:14:20Z,NY,0,0
2024-11-04,2024-11-04T20:14:20Z,NJ,0.3,0
2024-11-04,2024-11-04T20:14:20Z,NE-03,0,0
2024-11-04,2024-11-04T20:14:20Z,NE-01,0.3,0
2024-11-04,2024-11-04T20:14:20Z,NE,0,0
2024-11-04,2024-11-04T20:14:20Z,MT,0.2,0
2024-11-04,2024-11-04T20:14:20Z,MS,0.1,0
2024-11-04,2024-11-04T20:14:20Z,MA,0,0
2024-11-04,2024-11-04T20:14:20Z,MD,0,0
2024-11-04,2024-11-04T20:14:20Z,ME-01,0,0
2024-11-04,2024-11-04T20:14:20Z,LA,0,0
2024-11-04,2024-11-04T20:14:20Z,KY,0,0
2024-11-04,2024-11-04T20:14:20Z,KS,0.2,0
2024-11-04,2024-11-04T20:14:20Z,IN,0,0
2024-11-04,2024-11-04T20:14:20Z,IL,0.8,0
2024-11-04,2024-11-04T20:14:20Z,ID,0,0
2024-11-04,2024-11-04T20:14:20Z,HI,0,0
2024-11-04,2024-11-04T20:14:20Z,DC,0,0
2024-11-04,2024-11-04T20:14:20Z,DE,1.3,0
2024-11-04,2024-11-04T20:14:20Z,CT,0.1,0
2024-11-04,2024-11-04T20:14:20Z,CO,1,0
2024-11-04,2024-11-04T20:14:20Z,CA,0,0
2024-11-04,2024-11-04T20:14:20Z,AR,0,0
2024-11-04,2024-11-04T20:14:20Z,AL,0,0
2024-11-04,2024-11-04T20:14:20Z,OH,2.4,0.001
2024-11-04,2024-11-04T20:14:20Z,NE-02,15.5,0.001
2024-11-04,2024-11-04T20:14:20Z,ME-02,14.1,0.001
2024-11-04,2024-11-04T20:14:20Z,IA,5.9,0.001
2024-11-04,2024-11-04T20:14:20Z,AK,7.5,0.001
2024-11-04,2024-11-04T20:14:20Z,NM,14.8,0.002
2024-11-04,2024-11-04T20:14:20Z,MO,0.5,0.002
2024-11-04,2024-11-04T20:14:20Z,ME,10.8,0.002
2024-11-04,2024-11-04T20:14:20Z,NH,25.1,0.004
2024-11-04,2024-11-04T20:14:20Z,VA,9.7,0.007
2024-11-04,2024-11-04T20:14:20Z,TX,10.7,0.008
2024-11-04,2024-11-04T20:14:20Z,MN,13.2,0.008
2024-11-04,2024-11-04T20:14:20Z,FL,13.9,0.022
2024-11-04,2024-11-04T20:14:20Z,NV,100,0.052
2024-11-04,2024-11-04T20:14:20Z,AZ,55.6,0.062
2024-11-04,2024-11-04T20:14:20Z,WI,69.7,0.111
2024-11-04,2024-11-04T20:14:20Z,GA,71.3,0.143
2024-11-04,2024-11-04T20:14:20Z,NC,69.9,0.156
2024-11-04,2024-11-04T20:14:20Z,MI,66.6,0.157
2024-11-04,2024-11-04T20:14:20Z,PA,78.2,0.259
